Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
Aflenz ,8623,47.5667,15.2667,Steiermark,94
Walchsee,6344,47.6333,12.2833,Tirol,93
Zell an der Pram,4755,48.3333,13.5833,Oberîsterreich,93
Wulkaprodersdorf,7041,47.7975,16.5045,Burgenland,93
Rîthis,6832,47.2933,9.6548,Vorarlberg,93
Kirchstetten,3061,48.1963,15.8318,Niederîsterreich,93
Feistritz im Rosental,9162,46.5333,14.25,KÑrnten,93
Feldkirchen bei Mattighofen,5142,48.0667,12.9667,Oberîsterreich,93
Angerberg,6320,47.5129,12.0665,Tirol,93
Bruckneudorf,2460,48.0167,16.7833,Burgenland,93
Altenmarkt an der Triesting,2564,47.9582,16.0948,Niederîsterreich,93
Zeillern,3300,48.1216,14.8796,Niederîsterreich,92
Steinfeld,9753,46.7833,13.35,KÑrnten,92
Kirchschlag bei Linz,4040,48.3064,14.2861,Oberîsterreich,92
Gîtzendorf an der Leitha,2434,48.0326,16.5933,Niederîsterreich,92
Brunnenthal,4786,48.4845,13.4883,Oberîsterreich,92
Sulzberg,6934,47.5167,9.9,Vorarlberg,91
Stadl-Predlitz,8862,47.1101,14.022,Steiermark,91
Pernegg an der Mur,8131,47.2975,15.3229,Steiermark,91
Nassereith,6465,47.3167,10.8333,Tirol,91
Nickelsdorf,2425,47.9406,17.0694,Burgenland,91
Laxenburg,2351,48.0683,16.3561,Niederîsterreich,91
Ladendorf,2125,48.4667,16.5167,Niederîsterreich,91
Gai·au,6974,47.4667,9.6,Vorarlberg,91
Enzenreith,2632,47.6743,16.0028,Niederîsterreich,91
Wilfersdorf,2130,48.5833,16.65,Niederîsterreich,90
Obritzberg-Rust,3123,48.3,15.5667,Niederîsterreich,90
Pîrtschach am Wîrther See,9201,46.6372,14.1992,KÑrnten,90
Millstatt am See,9872,46.7961,13.6256,KÑrnten,90
Zillingdorf,2491,47.8656,16.3786,Burgenland,89
Schînkirchen-Reyersdorf,2241,48.3548,16.6912,Niederîsterreich,89
Steinbach an der Steyr,4421,47.9923,14.289,Oberîsterreich,89
Rosental an der Kainach,8570,47,15.1167,Steiermark,89
Sankt Oswald bei Plankenwarth,8111,47.1167,15.2667,Steiermark,89
Lichtenau im Waldviertel,3522,48.4833,15.4167,Niederîsterreich,89
Halbenrain,8484,46.7333,15.8833,Steiermark,89
Gro·dietmanns,3950,48.7626,14.9707,Niederîsterreich,89
Seeham,5164,47.9667,13.0833,Salzburg,88
Polling in Tirol,6404,47.2833,11.15,Tirol,88
Lechaschau,6600,47.4833,10.7167,Tirol,88
Hohenberg,3183,47.931,15.493,Niederîsterreich,88
Ilztal,8181,47.1667,15.5667,Steiermark,88
Kirchbach,9631,46.6386,13.2694,KÑrnten,88
Edelsbach bei Feldbach,8311,47.043,15.8623,Steiermark,88
Dechantskirchen,8241,47.4395,16.0484,Steiermark,88
Wiesing,6210,47.4032,11.813,Tirol,87
Rohrbach bei Mattersburg,7222,47.7052,16.4301,Burgenland,87
Grabern,2020,48.5833,16.1,Niederîsterreich,87
Hargelsberg,4483,48.1289,14.4104,Oberîsterreich,87
Paudorf,3508,48.3357,15.6238,Niederîsterreich,86
Offenhausen,4624,48.1388,13.9566,Oberîsterreich,86
Prellenkirchen,2471,47.9996,16.8605,Burgenland,86
Oberndorf in Tirol,6372,47.5,12.3833,Tirol,86
Heimschuh,8451,46.7833,15.4833,Steiermark,86
GrÅnau im Almtal,4644,47.8969,13.9505,Oberîsterreich,86
Aurach am Hongar,4814,47.8807,13.7299,Oberîsterreich,86
Atzbach,4904,48.1164,13.6263,Oberîsterreich,86
Schwarzenberg,6850,47.4141,9.8515,Vorarlberg,85
Mehrnbach,4910,48.1907,13.4866,Oberîsterreich,85
Marz,7221,47.7167,16.4167,Burgenland,85
Kautzen,3851,48.9167,15.2333,Niederîsterreich,85
Uderns,6271,47.3333,11.8667,Tirol,84
Sigmundsherberg,3742,48.7333,15.8167,Niederîsterreich,84
Taufkirchen an der Trattnach,4715,48.2667,13.7,Oberîsterreich,84
Sankt Peter-Freienstein,8792,47.3667,14.9833,Steiermark,84
Rohrendorf bei Krems,3495,48.4542,15.7202,Niederîsterreich,84
Matzendorf-Hîlles,2603,47.8816,16.2421,Niederîsterreich,84
Hausbrunn,2145,48.6167,16.8167,Niederîsterreich,84
Kennelbach,6921,47.4831,9.7667,Vorarlberg,84
Sankt Marein-Feistritz,8715,47.3137,14.9716,Steiermark,83
Rohrau,2471,47.9996,16.8605,Burgenland,83
Maria Neustift,4442,48,14.5333,Niederîsterreich,83
Allerheiligen bei Wildon,8081,46.9335,15.646,Steiermark,83
Eggendorf,2492,47.8581,16.3218,Niederîsterreich,83
Ungenach,4841,48.0321,13.6385,Oberîsterreich,82
Techelsberg am Wîrther See,9062,46.6566,14.345,KÑrnten,82
St. Egyden am Steinfeld,2624,47.7336,16.1434,Niederîsterreich,82
Rangersdorf,9833,46.8833,12.9,KÑrnten,82
Lech,6763,47.208,10.1418,Vorarlberg,82
Leutasch,6100,47.3114,11.1492,Tirol,82
Haslau-Maria Ellend,2402,48.1167,16.7167,Niederîsterreich,82
Enzenkirchen,4761,48.3763,13.6325,Oberîsterreich,82
Eggendorf im Traunkreis,4616,48.2192,14.0562,Oberîsterreich,82
Dîlsach,9991,46.8342,12.8333,Tirol,82
Ro·bach,5272,48.198,13.1813,Oberîsterreich,81
Ramsau im Zillertal,6284,47.2038,11.8754,Tirol,81
Oberhofen am Irrsee,4893,47.8667,13.3167,Oberîsterreich,81
Unterweitersdorf,4210,48.3796,14.4796,Oberîsterreich,80
Unken,5091,47.5888,12.7126,Salzburg,80
Waldneukirchen,4595,48.0426,14.2508,Oberîsterreich,80
Teufenbach-Katsch,8833,47.1333,14.35,Steiermark,80
Schiefling am Wîrthersee,9220,46.6132,14.0285,KÑrnten,80
Sankt Josef (Weststeiermark),8143,46.9,15.3667,Steiermark,80
Sankt BartholomÑ,8113,47.0667,15.25,Steiermark,80
Sankt Margarethen bei Knittelfeld,8715,47.3137,14.9716,Steiermark,80
Sankt Radegund bei Graz,8061,47.1513,15.5333,Steiermark,80
Meggenhofen,4625,48.1388,13.9566,Oberîsterreich,80
Neustift im MÅhlkreis,4085,48.402,13.9106,Oberîsterreich,80
Baldramsdorf,9800,46.8,13.5,KÑrnten,80
Weyregg am Attersee,4852,47.9402,13.5741,Oberîsterreich,79
Oberwang,4882,47.85,13.4667,Oberîsterreich,79
Niklasdorf,8712,47.4167,15.1167,Steiermark,79
Gîttlesbrunn-Arbesthal,2464,48.05,16.7333,Niederîsterreich,79
Gie·hÅbl,2372,48.0978,16.2348,Niederîsterreich,79
Gro·hîflein,7051,47.8359,16.4804,Burgenland,79
Erl,6343,47.6667,12.1833,Tirol,79
Wolfau,7412,47.25,16.1,Burgenland,78
Thannhausen,8160,47.2395,15.5649,Steiermark,78
Schenkenfelden,4192,48.5167,14.3859,Oberîsterreich,78
Schlitters,6261,47.3956,11.8197,Tirol,78
Ottendorf an der Rittschein,8262,47.1,15.85,Steiermark,78
Perschling,3142,48.2046,15.7416,Niederîsterreich,78
Pflach,6600,47.4833,10.7167,Tirol,78
Moosdorf,5141,48.1102,13.0161,Oberîsterreich,78
Kleinzell im MÅhlkreis,4114,48.4252,13.981,Oberîsterreich,78
Gaflenz,3334,47.9,14.75,Oberîsterreich,78
Dro·,3552,48.45,15.6,Niederîsterreich,78
Wundschuh,8142,46.9086,15.4156,Steiermark,77
Tulfes,6075,47.274,11.5335,Tirol,77
Weibern,4675,48.1647,13.6942,Oberîsterreich,77
Viehdorf,3322,48.1333,14.9167,Niederîsterreich,77
See,6553,47.0833,10.4667,Tirol,77
Stroheim,4070,48.2812,14.0031,Oberîsterreich,77
Hernstein,2560,47.9457,16.1097,Niederîsterreich,77
Enzersfeld im Weinviertel,2202,48.3333,16.4,Niederîsterreich,77
Hart im Zillertal,6265,47.3667,11.8667,Tirol,77
Wartmannstetten,2620,47.6667,16.0833,Niederîsterreich,76
Schiedlberg,4493,48.1227,14.3651,Oberîsterreich,76
Greinbach,8225,47.2186,15.8435,Steiermark,76
Dra·burg,7021,47.7465,16.4868,Burgenland,76
Dalaas,6752,47.1333,10.0333,Vorarlberg,76
Ehenbichl,6600,47.4833,10.7167,Tirol,76
Texingtal,3242,48.0902,15.3012,Niederîsterreich,75
St. Martin am Tennengebirge,5522,47.465,13.3776,Salzburg,75
Sankt Margarethen im Burgenland,7062,47.8034,16.6088,Burgenland,75
Rohrbach an der Gîlsen,3163,48.0228,15.7228,Niederîsterreich,75
Inzersdorf-Getzersdorf,3131,48.3128,15.6783,Niederîsterreich,75
Kollerschlag,4152,48.5752,13.9108,Oberîsterreich,75
Tristach,9907,46.8161,12.7897,Tirol,74
Trausdorf an der Wulka,7061,47.8219,16.6317,Burgenland,74
Schînwies,6491,47.1967,10.6574,Tirol,74
Rei·eck,9815,46.866,13.3462,KÑrnten,74
Neustift-Innermanzing,3052,48.1351,15.8871,Niederîsterreich,74
Inzersdorf im Kremstal,4565,47.9281,14.081,Oberîsterreich,74
Bad Blumau,8283,47.1333,16.0667,Steiermark,74
Arbing,4323,48.2952,14.7361,Oberîsterreich,74
Berndorf bei Salzburg,5165,47.9663,13.0733,Salzburg,74
Utzenaich,4754,48.2598,13.5022,Oberîsterreich,73
Stanz im MÅrztal,8653,47.4569,15.5403,Steiermark,73
Stra· im Stra·ertale,3491,48.5,15.7667,Niederîsterreich,73
St. Georgen im Lavanttal,9423,46.7167,14.9167,KÑrnten,73
Lassing,8900,47.5333,14.3167,Steiermark,73
Hinzenbach,4070,48.2812,14.0031,Oberîsterreich,73
Waidring,6384,47.5833,12.5667,Tirol,72
Weinburg,3205,48.0981,15.509,Niederîsterreich,72
Untersiebenbrunn,2284,48.25,16.7333,Niederîsterreich,72
Pilgersdorf,7441,47.4167,16.3667,Burgenland,72
Obsteig,6416,47.3,10.9333,Tirol,72
Proleb,8712,47.4167,15.1167,Steiermark,72
Moosbrunn,2440,48,16.5167,Niederîsterreich,72
Klaffer am Hochficht,4163,48.6729,13.9082,Oberîsterreich,72
Ernsthofen,4300,48.1333,14.5167,Niederîsterreich,72
Rechberg,4323,48.2952,14.7361,Oberîsterreich,71
PfaffstÑtt,5223,48.0575,13.1352,Oberîsterreich,71
Sankt Johann in der Haide,8230,47.25,15.95,Steiermark,71
Mîlbling,9300,46.778,14.3445,KÑrnten,71
Ischgl,6561,47.0126,10.2918,Tirol,71
Klein St. Paul,9372,46.7725,14.5439,KÑrnten,71
Dorfgastein,5632,47.25,13.1167,Salzburg,71
Wimpassing im Schwarzatale,2632,47.6743,16.0028,Niederîsterreich,70
Zwîlfaxing,2322,48.12,16.3932,Niederîsterreich,70
Sîchau,8280,47.0775,16.0698,Steiermark,70
Sankt Johann im Saggautal,8443,46.7655,15.4029,Steiermark,70
Ort im Innkreis,4974,48.3171,13.4738,Oberîsterreich,70
Reichenfels,9462,46.9484,14.7868,KÑrnten,70
Putzleinsdorf,4132,48.4826,13.8867,Oberîsterreich,70
Nu·dorf ob der Traisen,3134,48.348,15.7065,Niederîsterreich,70
Nauders,6542,47.0333,10.6,Tirol,70
Natters,6020,47.2714,11.3865,Tirol,70
Hatting,6402,47.2833,11.1667,Tirol,70
Fornach,4890,47.9725,13.3729,Oberîsterreich,70
Breitenau am Hochlantsch,8614,47.3833,15.4167,Steiermark,70
Artstetten-Pîbring,3652,48.2167,15.2167,Niederîsterreich,70
Zemendorf-Stîttera,7023,47.7628,16.4511,Burgenland,69
Waldburg,4193,48.527,14.3871,Oberîsterreich,69
St. Veit im MÅhlkreis,4173,48.499,14.1021,Oberîsterreich,69
ôblarn,8960,47.4667,13.9833,Steiermark,69
Mitterkirchen im Machland,4343,48.1879,14.6959,Oberîsterreich,69
Hollersbach im Pinzgau,5730,47.2833,12.4833,Salzburg,69
Kappel am Krappfeld,9314,46.7667,14.4333,KÑrnten,69
Kaisersdorf,7342,47.5374,16.392,Burgenland,69
Gutenberg-Stenzengreith,8061,47.1513,15.5333,Steiermark,69
WÅrflach,2732,47.7667,16.05,Niederîsterreich,68
Schwarzau im Gebirge,2661,47.8362,15.7291,Niederîsterreich,68
Ragnitz,8403,46.8359,15.4884,Steiermark,68
Pfaffenhofen,6405,47.3,11.0833,Tirol,68
Marbach an der Donau,3671,48.2167,15.15,Niederîsterreich,68
Kukmirn,7543,47.0754,16.2103,Burgenland,68
Guttaring,9330,46.8955,14.4513,KÑrnten,68
WÅrmla,3042,48.2316,15.9038,Niederîsterreich,67
Weppersdorf,7331,47.6211,16.3961,Burgenland,67
Pennewang,4624,48.1388,13.9566,Oberîsterreich,67
Sautens,6432,47.2,10.8667,Tirol,67
Mîtz,6423,47.2833,10.95,Tirol,67
Neidling,3110,48.2333,15.55,Niederîsterreich,67
Malta,9853,46.9167,13.5333,KÑrnten,67
Langen bei Bregenz,6932,47.5143,9.8877,Vorarlberg,67
Hartberg Umgebung,8225,47.2186,15.8435,Steiermark,67
Hafnerbach,3386,48.1919,15.4348,Niederîsterreich,67
Echsenbach,3804,48.7,15.3,Niederîsterreich,67
Achenkirch,6215,47.5266,11.7056,Tirol,67
Bad Bleiberg,9530,46.6244,13.6469,KÑrnten,67
Wang,3262,48.0478,15.023,Niederîsterreich,66
WettmannstÑtten,8444,46.7655,15.4029,Steiermark,66
Senftenberg,3500,48.4016,15.581,Niederîsterreich,66
Pischelsdorf am Engelbach,5233,48.1023,13.1078,Oberîsterreich,66
Puchkirchen am Trattberg,4849,48.0333,13.5667,Oberîsterreich,66
Mannersdorf an der Rabnitz,7443,47.4078,16.498,Burgenland,66
Mîrbisch am See,7072,47.75,16.6667,Burgenland,66
Hîflein an der Hohen Wand,2724,47.8004,16.0294,Niederîsterreich,66
Kînigsbrunn am Wagram,3462,48.3912,16.0324,Niederîsterreich,66
Lang,8403,46.8359,15.4884,Steiermark,66
Eichkîgl,8311,47.043,15.8623,Steiermark,66
Globasnitz,9142,46.5722,14.7033,KÑrnten,66
Fischlham,4641,47.9878,14.0137,Oberîsterreich,66
Going am Wilden Kaiser,6353,47.512,12.3421,Tirol,66
Allhaming,4511,48.1585,14.1912,Oberîsterreich,66
Dorf an der Pram,4751,48.2831,13.5935,Oberîsterreich,66
Wiesen,7202,47.7744,16.3284,Burgenland,65
Windhaag bei Perg,4320,48.2448,14.6753,Oberîsterreich,65
Wei·enkirchen im Attergau,4890,47.9725,13.3729,Oberîsterreich,65
Turnau,8624,47.55,15.2833,Steiermark,65
Stra· im Attergau,4881,47.9152,13.467,Oberîsterreich,65
St. Martin-Karlsbach,3376,48.1667,15.0333,Niederîsterreich,65
Ro·leithen,4575,47.7351,14.2733,Oberîsterreich,65
Pirching am Traubenberg,8081,46.9335,15.646,Steiermark,65
Reisenberg,2440,48,16.5167,Niederîsterreich,65
MÅllendorf,7052,47.8394,16.4626,Burgenland,65
Kirnberg an der Mank,3240,48.0902,15.3012,Niederîsterreich,65
Kematen am Innbach,4632,48.1883,13.8967,Oberîsterreich,65
Geretsberg,5121,48.0873,12.8249,Oberîsterreich,65
Gabersdorf,8424,46.75,15.5667,Steiermark,65
Ampass,6070,47.2667,11.45,Tirol,65
Arnreit,4121,48.4833,13.9965,Oberîsterreich,65
Antiesenhofen,4980,48.3141,13.3627,Oberîsterreich,65
Birgitz,6092,47.2354,11.2992,Tirol,65
Wenigzell,8253,47.4452,15.8037,Steiermark,64
Staatz,2134,48.6667,16.5,Niederîsterreich,64
Oepping,4151,48.5821,13.9042,Oberîsterreich,64
Reinsberg,3264,47.998,15.0391,Niederîsterreich,64
Halbturn,7131,47.8702,16.9754,Burgenland,64
Geistthal-Sîdingberg,8113,47.0667,15.25,Steiermark,64
Gro·ebersdorf,2203,48.3608,16.4925,Niederîsterreich,64
Werfenweng,5453,47.4667,13.2333,Salzburg,63
WildendÅrnbach,2163,48.75,16.5833,Niederîsterreich,63
Tarsdorf,5121,48.0873,12.8249,Oberîsterreich,63
St. Georgen an der Leys,3242,48.0902,15.3012,Niederîsterreich,63
Stetten,2100,48.3667,16.3833,Niederîsterreich,63
Sellrain,6181,47.2167,11.2167,Tirol,63
Scharnitz,6108,47.389,11.2645,Tirol,63
Riefensberg,6943,47.5,9.9667,Vorarlberg,63
Prottes,2242,48.3868,16.7389,Niederîsterreich,63
Podersdorf am See,7141,47.8541,16.8371,Burgenland,63
Klausen-Leopoldsdorf,2533,48.0597,16.0311,Niederîsterreich,63
Kammern im Liesingtal,8772,47.3667,15,Steiermark,63
Keutschach am See,9074,46.5931,14.1889,KÑrnten,63
Gedersdorf,3485,48.4,15.7333,Niederîsterreich,63
Glanegg,9555,46.7318,14.1825,KÑrnten,63
Bergern im Dunkelsteinerwald,3122,48.3333,15.4833,Niederîsterreich,63
Donnerskirchen,7082,47.8942,16.6463,Burgenland,63
Altaussee,8992,47.6384,13.7628,Steiermark,63
Thaya,3830,48.8333,15.2167,Niederîsterreich,62
Schildorn,4920,48.1364,13.4667,Oberîsterreich,62
Sigle·,7032,47.7753,16.395,Burgenland,62
Rosegg,9184,46.55,14.0333,KÑrnten,62
Sankt Stefan ob Leoben,8713,47.3137,14.9716,Steiermark,62
Lengenfeld,3552,48.45,15.6,Niederîsterreich,62
Innerschwand am Mondsee,4866,47.8,13.4833,Oberîsterreich,62
Hohenthurn,9601,46.5475,13.6863,KÑrnten,62
Lambrechten,4752,48.2831,13.5935,Oberîsterreich,62
Kreuzstetten,2124,48.4667,16.4667,Niederîsterreich,62
Landl,8920,47.6476,14.8128,Steiermark,62
Gîpfritz an der Wild,3800,48.7167,15.4,Niederîsterreich,62
Ellbîgen,6083,47.1667,11.45,Tirol,62
Gilgenberg am Weilhart,5133,48.1428,12.9462,Oberîsterreich,62
Burgauberg-Neudauberg,8291,47.1477,16.1235,Burgenland,62
Breitenau,2624,47.7336,16.1434,Niederîsterreich,62
Weng im Innkreis,4950,48.2515,13.2341,Oberîsterreich,61
St. Roman,4091,48.5417,13.6556,Oberîsterreich,61
Stadtschlaining,7400,47.3214,16.2248,Burgenland,61
Maissau,3712,48.55,15.8,Niederîsterreich,61
Neudorf im Weinviertel,2135,48.7208,16.4914,Niederîsterreich,61
Mînchhof,7123,47.8802,16.9413,Burgenland,61
Irschen,9773,46.7511,13.0344,KÑrnten,61
Hîhnhart,5241,48.1617,13.1669,Oberîsterreich,61
Gersdorf an der Feistritz,8211,47.1333,15.7333,Steiermark,61
Sittersdorf,9133,46.55,14.5833,KÑrnten,60
Scheffau am Tennengebirge,5440,47.5883,13.2202,Salzburg,60
SchÅtzen am Gebirge,7081,47.8523,16.6233,Burgenland,60
Niederthalheim,4691,48.0446,13.7748,Oberîsterreich,60
Ludmannsdorf,9072,46.55,14.15,KÑrnten,60
Imsterberg,6492,47.2052,10.696,Tirol,60
Gro·schînau,3922,48.5712,14.9508,Niederîsterreich,60
Bernstein,2852,47.4207,16.2199,Burgenland,60
Zederhaus,5584,47.1161,13.7062,Salzburg,59
Scheffau am Wilden Kaiser,6351,47.5294,12.2514,Tirol,59
Telfes im Stubai,6165,47.1667,11.35,Tirol,59
Ru·bach,3702,48.45,16.0333,Niederîsterreich,59
Pama,2422,48.05,17.0333,Burgenland,59
Plainfeld,5325,47.8333,13.1833,Salzburg,59
Oberlienz,9903,46.8472,12.7314,Tirol,59
Moosbach,4952,48.2465,13.153,Oberîsterreich,59
Kapfenstein,8344,46.8795,15.8358,Steiermark,59
Jochberg,6373,47.3792,12.4181,Tirol,59
Gaschurn,6793,46.9833,10.0333,Vorarlberg,59
Hadersdorf-Kammern,3493,48.4667,15.7167,Niederîsterreich,59
Filzmoos,5532,47.45,13.4833,Salzburg,59
Fischbach,8654,47.4167,15.6,Steiermark,59
Gaubitsch,2154,48.6667,16.3833,Niederîsterreich,59
Anras,9912,46.7761,12.5778,Tirol,59
Ardning,8904,47.5833,14.3333,Steiermark,59
Walpersbach,2802,47.65,16.283,Niederîsterreich,58
St. Urban,9554,46.75,14.15,KÑrnten,58
Perwang am Grabensee,5166,47.9663,13.0733,Oberîsterreich,58
Olbendorf,7534,47.1833,16.2,Burgenland,58
Sankt AndrÑ-Hîch,8441,46.7833,15.4,Steiermark,58
Pill,6136,47.3167,11.6833,Tirol,58
Mellau,6881,47.3505,9.9169,Vorarlberg,58
Mauterndorf,5570,47.1109,13.6953,Salzburg,58
Kemeten,7531,47.2333,16.15,Burgenland,58
Kirchberg bei Mattighofen,5232,48.1023,13.1078,Oberîsterreich,58
Fresach,9702,46.756,13.6103,KÑrnten,58
Gro·kirchheim,9843,46.9833,12.8667,KÑrnten,58
Afritz am See,9542,46.7333,13.7667,KÑrnten,58
Statzendorf,3125,48.3062,15.6192,Niederîsterreich,57
Stockenboi,9701,46.7667,13.6,KÑrnten,57
Pillichsdorf,2211,48.35,16.5333,Niederîsterreich,57
Loipersdorf-Kitzladen,7410,47.3167,16.0667,Burgenland,57
Maria Schmolln,5241,48.1617,13.1669,Oberîsterreich,57
Kaltenbach,6272,47.2833,11.8667,Tirol,57
Julbach,4153,48.5821,13.9042,Oberîsterreich,57
HÅttau,5511,47.4,13.3167,Salzburg,57
FÅgenberg,6264,47.3521,11.8417,Tirol,57
Geboltskirchen,4682,48.1534,13.6336,Oberîsterreich,57
Floing,8183,47.2333,15.7333,Steiermark,57
Grinzens,6095,47.2293,11.2532,Tirol,57
Bruck am Ziller,6260,47.4169,11.8779,Tirol,57
Altenburg,3591,48.65,15.6167,Niederîsterreich,57
Unterach am Attersee,4866,47.8,13.4833,Oberîsterreich,56
Waldenstein,3961,48.7167,15.0333,Niederîsterreich,56
Unterlamm,8350,46.9292,16.0825,Burgenland,56
St. Leonhard im Pitztal,6481,47.0517,10.834,Tirol,56
Spital am Pyhrn,4582,47.7034,14.2989,Oberîsterreich,56
Palterndorf-Dobermannsdorf,2181,48.6,16.8167,Niederîsterreich,56
Ranggen,6179,47.2604,11.2583,Tirol,56
Polling im Innkreis,4943,48.2237,13.2993,Oberîsterreich,56
Oberkappel,4144,48.5227,13.793,Oberîsterreich,56
Neckenmarkt,7311,47.5979,16.5729,Burgenland,56
Klein-Neusiedl,2431,48.0938,16.6066,Niederîsterreich,56
Hochfilzen,6395,47.4667,12.6167,Tirol,56
Kals am Gro·glockner,9981,47.0047,12.6441,Tirol,56
Kleblach-Lind,9753,46.7833,13.35,KÑrnten,56
Haunoldstein,3384,48.1919,15.4348,Niederîsterreich,56
Gro·-Schweinbarth,2221,48.4147,16.6319,Niederîsterreich,56
Gro·engersdorf,2212,48.3677,16.6072,Niederîsterreich,56
Eschenau,3153,48.0483,15.5669,Niederîsterreich,56
Grimmenstein,2831,47.6667,16.1,Niederîsterreich,56
Fladnitz an der Teichalm,8130,47.2975,15.3229,Steiermark,56
Fuschl am See,5330,47.8,13.3,Salzburg,56
Angath,6321,47.5,12.0667,Tirol,56
Allerheiligen im MÅhlkreis,4284,48.329,14.5707,Oberîsterreich,56
Bizau,6874,47.3848,9.9014,Vorarlberg,56
Wernstein am Inn,4783,48.5239,13.4658,Oberîsterreich,55
Schleedorf,5205,47.95,13.15,Salzburg,55
Ried im Zillertal,6273,47.3,11.8667,Tirol,55
Pierbach,4274,48.4601,14.7097,Oberîsterreich,55
Rohr bei Hartberg,8274,47.2357,15.9633,Steiermark,55
Petronell-Carnuntum,2404,48.1167,16.85,Niederîsterreich,55
Pîlfing-Brunn,8544,46.7294,15.3,Steiermark,55
Michaelnbach,4712,48.2439,13.7954,Oberîsterreich,55
Mining,4962,48.2695,13.1465,Oberîsterreich,55
Leiben,3652,48.2167,15.2167,Niederîsterreich,55
Leithaprodersdorf,2443,47.9335,16.4791,Burgenland,55
Empersdorf,8081,46.9335,15.646,Steiermark,55
Flaurling,6403,47.2833,11.1167,Tirol,55
Bad Kleinkirchheim,9546,46.8167,13.7667,KÑrnten,55
Bockflie·,2213,48.36,16.6039,Niederîsterreich,55
Weitersfelden,4272,48.4773,14.7255,Oberîsterreich,54
Stall,9832,46.9,13.0667,KÑrnten,54
Schwand im Innkreis,5134,48.2029,12.9847,Oberîsterreich,54
Rainbach im Innkreis,4776,48.424,13.6197,Oberîsterreich,54
Riedlingsdorf,7422,47.35,16.1333,Burgenland,54
Michaelerberg-Pruggern,8962,47.4427,13.9012,Steiermark,54
Hohe Wand,2722,47.8074,16.0792,Niederîsterreich,54
Kapelln,3141,48.2486,15.7657,Niederîsterreich,54
Ferndorf,9701,46.7667,13.6,KÑrnten,54
Gallizien,9123,46.6171,14.5953,KÑrnten,54
Attersee am Attersee,4864,47.9127,13.5602,Oberîsterreich,54
Dimbach,4371,48.344,14.9053,Oberîsterreich,54
Burgschleinitz-KÅhnring,3713,48.5666,15.8767,Niederîsterreich,54
Baumkirchen,6121,47.3,11.5667,Tirol,54
Wei·enbach am Lech,6671,47.499,10.5276,Tirol,53
Wendling,4720,48.2681,13.6686,Oberîsterreich,53
St. Stefan im Gailtal,9614,46.5969,13.5233,KÑrnten,53
Schînberg am Kamp,3562,48.5167,15.7,Niederîsterreich,53
St. Gotthard im MÅhlkreis,4112,48.3703,14.1556,Oberîsterreich,53
Pîllauberg,8225,47.2186,15.8435,Steiermark,53
Oberhaag,8443,46.7655,15.4029,Steiermark,53
Klaus an der Pyhrnbahn,4564,47.8314,14.1572,Oberîsterreich,53
Lans,6072,47.2383,11.4314,Tirol,53
Hohenweiler,6914,47.5833,9.7833,Vorarlberg,53
Haibach ob der Donau,4083,48.402,13.9106,Oberîsterreich,53
Arriach,9543,46.7377,13.8208,KÑrnten,53
Assling,9911,46.8,12.6667,Tirol,53
Zell am Pettenfirst,4842,48.0667,13.5833,Oberîsterreich,52
St. Oswald,3683,48.2586,15.0592,Niederîsterreich,52
Suben,4975,48.4182,13.4522,Oberîsterreich,52
St. Martin bei Lofer,5090,47.6,12.7167,Salzburg,52
Rotenturm an der Pinka,7501,47.2485,16.2906,Burgenland,52
Reichersberg,4973,48.2952,13.4387,Oberîsterreich,52
Markgrafneusiedl,2282,48.2583,16.6194,Niederîsterreich,52
Nîchling,3691,48.2251,14.9932,Niederîsterreich,52
Heinfels,9919,46.7547,12.4667,Tirol,52
Jagerberg,8083,46.9167,15.6667,Steiermark,52
Gro·gîttfritz,3910,48.5599,15.1406,Niederîsterreich,52
Gaaden,2531,48.0536,16.2,Niederîsterreich,52
Breitenbrunn,7091,47.9445,16.7315,Burgenland,52
Deutsch Kaltenbrunn,7572,47.1244,16.1151,Burgenland,52
Bad Loipersdorf,8282,46.982,16.1459,Burgenland,52
Diersbach,4776,48.424,13.6197,Oberîsterreich,52
Wald im Pinzgau,5742,47.2421,12.2169,Salzburg,51
Traboch,8770,47.3819,14.9049,Steiermark,51
Selzthal,8786,47.5167,14.3333,Steiermark,51
SchÑffern,2852,47.4207,16.2199,Burgenland,51
Maria Taferl,3661,48.2333,15.2167,Niederîsterreich,51
Neutal,7343,47.5455,16.4462,Burgenland,51
Nikitsch,7302,47.5362,16.6602,Burgenland,51
Markt Sankt Martin,2812,47.5583,16.3314,Burgenland,51
Hohenwarth-MÅhlbach a.M.,3472,48.5,15.8167,Niederîsterreich,51
Kainach bei Voitsberg,8572,47.0792,15.1225,Steiermark,51
Hof am Leithaberge,2451,47.923,16.5579,Niederîsterreich,51
Haringsee,2286,48.1927,16.7874,Niederîsterreich,51
Feistritz am Wechsel,2870,47.5333,16.05,Niederîsterreich,51
Berg im Drautal,9761,46.7381,13.1961,KÑrnten,51
Ebersdorf,8272,47.1833,15.9167,Steiermark,51
Brandenberg,6234,47.5167,11.8833,Tirol,51
Berg im Attergau,4863,47.9625,13.5708,Oberîsterreich,51
Tobaj,7544,47.1167,16.35,Burgenland,50
Trins,6150,47.0833,11.4167,Tirol,50
St. Konrad,4644,47.8969,13.9505,Oberîsterreich,50
