Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
Schwarzautal,8413,46.8733,15.5797,Steiermark,184
Schattendorf,7022,47.7097,16.5098,Burgenland,184
Michelhausen,3441,48.2847,16.009,Niederîsterreich,184
Gosau,4824,47.5842,13.5345,Oberîsterreich,183
Schweiggers,3922,48.5712,14.9508,Niederîsterreich,182
St. Kanzian am Klopeiner See,9122,46.6171,14.5953,KÑrnten,181
Puch bei Weiz,8182,47.2243,15.7516,Steiermark,181
Magdalensberg,9020,46.6506,14.3539,KÑrnten,181
Neusiedl an der Zaya,2183,48.5978,16.7563,Niederîsterreich,181
Gries am Brenner,6156,47.05,11.4833,Tirol,181
Waldbach-Mînichwald,8251,47.4452,15.8037,Steiermark,180
Thaur,6060,47.2833,11.5167,Tirol,180
Pram,4742,48.2205,13.6025,Oberîsterreich,180
Kohfidisch,7512,47.1609,16.3485,Burgenland,180
Breitenfurt bei Wien,2384,48.1333,16.15,Niederîsterreich,180
Bad Fischau-Brunn,2700,47.8,16.25,Niederîsterreich,178
St. Johann am Walde,5241,48.1617,13.1669,Oberîsterreich,176
Rust,7071,47.8012,16.6716,Burgenland,176
Rohrbach an der Lafnitz,8233,47.3667,16.0167,Steiermark,175
Pîlstal,8762,47.25,14.5167,Steiermark,174
Mitterndorf an der Fischa,2440,48,16.5167,Niederîsterreich,174
Sankt Michael im Burgenland,7535,47.1167,16.25,Burgenland,173
Markersdorf-Haindorf,3384,48.1919,15.4348,Niederîsterreich,173
Hohenzell,4921,48.1555,13.4802,Oberîsterreich,173
BartholomÑberg,6781,47.0611,9.9378,Vorarlberg,173
Weitensfeld im Gurktal,9343,46.8773,14.2191,KÑrnten,172
Ratten,8672,47.4856,15.7208,Steiermark,172
Sankt Anna am Aigen,8354,46.8333,15.9667,Steiermark,172
Krenglbach,4631,48.2132,13.9497,Oberîsterreich,172
Gutau,4230,48.3467,14.5589,Oberîsterreich,172
Irnfritz-Messern,3754,48.75,15.5667,Niederîsterreich,170
Tux,6293,47.15,11.8333,Tirol,169
Traunkirchen,4801,47.8764,13.7572,Oberîsterreich,169
Sîlk,8961,47.4215,13.8692,Steiermark,169
St. Georgen bei Salzburg,5113,47.9787,12.9468,Salzburg,169
Stattegg,8045,47.1352,15.4601,Steiermark,168
Steinbrunn,2491,47.8656,16.3786,Burgenland,168
Helpfau-Uttendorf,5241,48.1617,13.1669,Oberîsterreich,168
Edlitz,2840,47.6167,16.1333,Niederîsterreich,168
Sitzendorf an der Schmida,3710,48.55,15.9667,Niederîsterreich,167
Lobmingtal,8592,47.0778,15.0472,Steiermark,167
Oftering,4064,48.2204,14.1225,Oberîsterreich,166
Steinberg-Dîrfl,7453,47.4743,16.4876,Burgenland,165
